Timestamp,PositionX,PositionY,X(V),Y(V),Frequency(Hz),Voltage(V)
2025-04-04 10:08:21.371745,56.0001,38.1105,-7.0810318675e-07,1.565873653e-08,1000.000000,0.133136938
2025-04-04 10:08:21.360147,56.0001,38.1105,-7.7551425193e-07,1.8855930151e-08,1000.000000,0.133136938
2025-04-04 10:08:21.349589,56.0001,38.1105,-7.7551425193e-07,1.8855930151e-08,1000.000000,0.133136938
2025-04-04 10:08:21.339140,56.0001,38.29285,-7.7551425193e-07,1.8855930151e-08,1000.000000,0.137554905
2025-04-04 10:08:21.328511,56.0001,38.29285,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.137554905
2025-04-04 10:08:21.317714,56.0001,38.29285,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.137554905
2025-04-04 10:08:21.307181,56.0001,38.29285,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.137554905
2025-04-04 10:08:21.296176,56.0001,38.68145,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.110827054
2025-04-04 10:08:21.284139,56.0001,38.68145,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.110827054
2025-04-04 10:08:21.273340,56.0001,38.68145,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.110827054
2025-04-04 10:08:21.262566,56.0001,38.68145,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.110827054
2025-04-04 10:08:21.251458,56.0001,38.68145,-8.3802041217e-07,1.3711453306e-08,1000.000000,0.110827054
2025-04-04 10:08:21.239409,56.0001,38.68145,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.110827054
2025-04-04 10:08:21.228752,56.0001,38.68145,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.110827054
2025-04-04 10:08:21.216616,56.0001,38.68145,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.110827054
2025-04-04 10:08:21.204657,55.99985,39.0251,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.0894577976
2025-04-04 10:08:21.193562,55.99985,39.0251,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.0894577976
2025-04-04 10:08:21.182811,55.99985,39.0251,-8.8492515715e-07,-8.840561172e-09,1000.000000,0.0894577976
2025-04-04 10:08:21.172337,55.99985,39.0251,-9.018409628e-07,-1.6574263739e-08,1000.000000,0.0894577976
2025-04-04 10:08:21.161794,55.99985,39.0251,-9.018409628e-07,-1.6574263739e-08,1000.000000,0.0894577976
2025-04-04 10:08:21.150797,55.99985,39.23195,-9.018409628e-07,-1.6574263739e-08,1000.000000,0.0812351418
2025-04-04 10:08:21.139103,55.99985,39.23195,-9.4656763849e-07,-2.0486712771e-08,1000.000000,0.0812351418
2025-04-04 10:08:21.128144,55.99985,39.23195,-9.4656763849e-07,-2.0486712771e-08,1000.000000,0.0812351418
2025-04-04 10:08:21.117623,55.99985,39.23195,-9.4656763849e-07,-2.0486712771e-08,1000.000000,0.0812351418
2025-04-04 10:08:21.104895,55.99985,39.4106,-9.4656763849e-07,-2.0486712771e-08,1000.000000,0.0645413759
2025-04-04 10:08:21.094508,55.99985,39.4106,-9.8897703538e-07,-3.0972362453e-08,1000.000000,0.0645413759
2025-04-04 10:08:21.081944,55.99985,39.4106,-9.8897703538e-07,-3.0972362453e-08,1000.000000,0.0645413759
2025-04-04 10:08:21.069731,55.9964,39.49995,-9.8897703538e-07,-3.0972362453e-08,1000.000000,0.0416333878
2025-04-04 10:08:21.056879,55.9964,39.49995,-9.8897703538e-07,-3.0972362453e-08,1000.000000,0.0416333878
2025-04-04 10:08:21.046077,55.9964,39.49995,-1.0534429293e-06,-4.5386553182e-08,1000.000000,0.0416333878
2025-04-04 10:08:21.033545,55.9964,39.49995,-1.0534429293e-06,-4.5386553182e-08,1000.000000,0.0416333878
2025-04-04 10:08:21.022922,55.9964,39.4999,-1.0534429293e-06,-4.5386553182e-08,1000.000000,0.0413074872
2025-04-04 10:08:21.010871,55.9964,39.4999,-1.0534429293e-06,-4.5386553182e-08,1000.000000,0.0413074872
2025-04-04 10:08:21.000031,55.9964,39.4999,-1.0534429293e-06,-4.5386553182e-08,1000.000000,0.0413074872
2025-04-04 10:08:20.988511,55.9964,39.4999,-1.1220413398e-06,-8.7552663786e-08,1000.000000,0.0413074872
2025-04-04 10:08:20.978000,55.9964,39.4999,-1.1220413398e-06,-8.7552663786e-08,1000.000000,0.0413074872
2025-04-04 10:08:20.965375,55.9964,39.4999,-1.1220413398e-06,-8.7552663786e-08,1000.000000,0.0413074872
2025-04-04 10:08:20.954711,0.0,39.50015,-1.1220413398e-06,-8.7552663786e-08,1000.000000,0.0364996413
2025-04-04 10:08:20.941382,0.0,39.50015,-1.1220413398e-06,-8.7552663786e-08,1000.000000,0.0364996413
2025-04-04 10:08:21.567337,0.0,37.50055,-6.0386003042e-07,-6.4646599185e-08,1000.000000,0.0337408481
2025-04-04 10:08:21.578540,0.0,37.50055,-6.0386003042e-07,-6.4646599185e-08,1000.000000,0.0337408481
2025-04-04 10:08:21.589459,0.0,37.50055,-6.0386003042e-07,-6.4646599185e-08,1000.000000,0.0337408481
2025-04-04 10:08:21.601373,0.0,37.50055,-5.9955596043e-07,-5.9401987329e-08,1000.000000,0.0337408481
2025-04-04 10:08:21.612961,56.9952,37.50025,-5.9955596043e-07,-5.9401987329e-08,1000.000000,0.0313470192
2025-04-04 10:08:21.623491,56.9952,37.50025,-5.9955596043e-07,-5.9401987329e-08,1000.000000,0.0313470192
